Year,Month_Name,Date,State,Vehicle_Class,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity,Cluster
2014.0,jan,1/1/2014,3,9,3,9,0.0,2
2014.0,jan,1/1/2014,3,10,4,11,0.0,2
2014.0,jan,1/1/2014,3,15,4,11,0.0,2
2014.0,jan,1/1/2014,3,16,4,11,0.0,2
2014.0,jan,1/1/2014,3,21,4,11,0.0,2
2014.0,jan,1/1/2014,3,22,4,11,0.0,2
2014.0,jan,1/1/2014,3,26,4,11,0.0,2
2014.0,jan,1/1/2014,3,33,4,11,0.0,2
2014.0,jan,1/1/2014,3,31,0,0,0.0,1
2014.0,jan,1/1/2014,3,38,0,0,0.0,1
2014.0,jan,1/1/2014,3,39,2,8,0.0,0
2014.0,jan,1/1/2014,3,40,2,7,0.0,0
2014.0,jan,1/1/2014,3,58,1,2,0.0,1
2014.0,jan,1/1/2014,3,59,1,5,0.0,1
2014.0,jan,1/1/2014,3,60,1,4,0.0,1
2014.0,jan,1/1/2014,3,63,4,11,0.0,0
2014.0,jan,1/1/2014,3,66,4,11,0.0,0
2014.0,jan,1/1/2014,0,9,3,9,0.0,2
2014.0,jan,1/1/2014,0,19,4,11,0.0,2
2014.0,jan,1/1/2014,0,26,4,11,0.0,2
2014.0,jan,1/1/2014,0,31,0,0,0.0,1
2014.0,jan,1/1/2014,0,38,0,0,0.0,1
2014.0,jan,1/1/2014,0,39,2,8,0.0,0
2014.0,jan,1/1/2014,0,40,2,7,0.0,0
2014.0,jan,1/1/2014,0,43,0,1,0.0,1
2014.0,jan,1/1/2014,0,59,1,5,0.0,1
2014.0,jan,1/1/2014,4,1,4,11,0.0,2
2014.0,jan,1/1/2014,4,9,3,9,0.0,2
2014.0,jan,1/1/2014,4,13,4,11,0.0,2
2014.0,jan,1/1/2014,4,26,4,11,0.0,2
2014.0,jan,1/1/2014,4,27,4,11,0.0,2
2014.0,jan,1/1/2014,4,33,4,11,0.0,2
2014.0,jan,1/1/2014,4,31,0,0,0.0,1
2014.0,jan,1/1/2014,4,32,0,0,0.0,1
2014.0,jan,1/1/2014,4,38,0,0,0.0,1
2014.0,jan,1/1/2014,4,39,2,8,0.0,0
2014.0,jan,1/1/2014,4,40,2,7,0.0,0
2014.0,jan,1/1/2014,4,43,0,1,0.0,1
2014.0,jan,1/1/2014,4,58,1,2,0.0,1
2014.0,jan,1/1/2014,4,59,1,5,0.0,1
2014.0,jan,1/1/2014,4,63,4,11,0.0,0
2014.0,jan,1/1/2014,4,66,4,11,0.0,0
2014.0,jan,1/1/2014,6,0,4,11,0.0,2
2014.0,jan,1/1/2014,6,1,4,11,0.0,2
2014.0,jan,1/1/2014,6,2,4,11,0.0,2
2014.0,jan,1/1/2014,6,5,4,11,0.0,2
2014.0,jan,1/1/2014,6,9,3,9,0.0,2
2014.0,jan,1/1/2014,6,13,4,11,0.0,2
2014.0,jan,1/1/2014,6,15,4,11,0.0,2
2014.0,jan,1/1/2014,6,16,4,11,0.0,2
2014.0,jan,1/1/2014,6,19,4,11,0.0,2
2014.0,jan,1/1/2014,6,20,3,10,0.0,2
2014.0,jan,1/1/2014,6,22,4,11,0.0,2
2014.0,jan,1/1/2014,6,26,4,11,0.0,2
2014.0,jan,1/1/2014,6,27,4,11,0.0,2
2014.0,jan,1/1/2014,6,33,4,11,0.0,2
2014.0,jan,1/1/2014,6,31,0,0,10.0,1
2014.0,jan,1/1/2014,6,36,4,11,0.0,0
2014.0,jan,1/1/2014,6,38,0,0,0.0,1
2014.0,jan,1/1/2014,6,39,2,8,0.0,0
2014.0,jan,1/1/2014,6,40,2,7,0.0,0
2014.0,jan,1/1/2014,6,46,3,9,0.0,0
2014.0,jan,1/1/2014,6,47,3,9,0.0,0
2014.0,jan,1/1/2014,6,50,4,11,0.0,0
2014.0,jan,1/1/2014,6,58,1,2,0.0,1
2014.0,jan,1/1/2014,6,59,1,5,0.0,1
2014.0,jan,1/1/2014,6,63,4,11,0.0,0
2014.0,jan,1/1/2014,6,65,4,11,0.0,0
2014.0,jan,1/1/2014,6,66,4,11,0.0,0
2014.0,jan,1/1/2014,6,69,4,11,0.0,0
2014.0,jan,1/1/2014,6,71,4,11,0.0,0
2014.0,jan,1/1/2014,5,0,4,11,0.0,2
2014.0,jan,1/1/2014,5,2,4,11,0.0,2
2014.0,jan,1/1/2014,5,9,3,9,0.0,2
2014.0,jan,1/1/2014,5,13,4,11,0.0,2
2014.0,jan,1/1/2014,5,20,3,10,0.0,2
2014.0,jan,1/1/2014,5,26,4,11,0.0,2
2014.0,jan,1/1/2014,5,31,0,0,0.0,1
2014.0,jan,1/1/2014,5,38,0,0,0.0,1
2014.0,jan,1/1/2014,5,39,2,8,0.0,0
2014.0,jan,1/1/2014,5,40,2,7,0.0,0
2014.0,jan,1/1/2014,5,58,1,2,0.0,1
2014.0,jan,1/1/2014,5,59,1,5,0.0,1
2014.0,jan,1/1/2014,5,63,4,11,0.0,0
2014.0,jan,1/1/2014,7,1,4,11,0.0,2
2014.0,jan,1/1/2014,7,2,4,11,0.0,2
2014.0,jan,1/1/2014,7,11,4,11,0.0,2
2014.0,jan,1/1/2014,7,15,4,11,0.0,2
2014.0,jan,1/1/2014,7,21,4,11,0.0,2
2014.0,jan,1/1/2014,7,22,4,11,0.0,2
2014.0,jan,1/1/2014,7,25,4,11,0.0,2
2014.0,jan,1/1/2014,7,26,4,11,0.0,2
2014.0,jan,1/1/2014,7,33,4,11,0.0,2
2014.0,jan,1/1/2014,7,31,0,0,0.0,1
2014.0,jan,1/1/2014,7,38,0,0,0.0,1
2014.0,jan,1/1/2014,7,40,2,7,0.0,0
2014.0,jan,1/1/2014,7,46,3,9,0.0,0
2014.0,jan,1/1/2014,7,59,1,5,0.0,1
2014.0,jan,1/1/2014,7,65,4,11,0.0,0
2014.0,jan,1/1/2014,8,0,4,11,0.0,2
2014.0,jan,1/1/2014,8,1,4,11,0.0,2
2014.0,jan,1/1/2014,8,2,4,11,0.0,2
2014.0,jan,1/1/2014,8,9,3,9,0.0,2
2014.0,jan,1/1/2014,8,15,4,11,0.0,2
2014.0,jan,1/1/2014,8,26,4,11,0.0,2
2014.0,jan,1/1/2014,8,30,2,8,0.0,0
2014.0,jan,1/1/2014,8,33,4,11,0.0,2
2014.0,jan,1/1/2014,8,31,0,0,2.0,1
2014.0,jan,1/1/2014,8,32,0,0,0.0,1
2014.0,jan,1/1/2014,8,38,0,0,0.0,1
2014.0,jan,1/1/2014,8,39,2,8,0.0,0
2014.0,jan,1/1/2014,8,40,2,7,5.0,0
2014.0,jan,1/1/2014,8,54,4,11,0.0,0
2014.0,jan,1/1/2014,8,58,1,2,0.0,1
2014.0,jan,1/1/2014,8,59,1,5,0.0,1
2014.0,jan,1/1/2014,8,60,1,4,0.0,1
2014.0,jan,1/1/2014,9,0,4,11,0.0,2
2014.0,jan,1/1/2014,9,1,4,11,0.0,2
2014.0,jan,1/1/2014,9,9,3,9,0.0,2
2014.0,jan,1/1/2014,9,13,4,11,0.0,2
2014.0,jan,1/1/2014,9,15,4,11,0.0,2
2014.0,jan,1/1/2014,9,19,4,11,0.0,2
2014.0,jan,1/1/2014,9,26,4,11,0.0,2
2014.0,jan,1/1/2014,9,33,4,11,0.0,2
2014.0,jan,1/1/2014,9,31,0,0,0.0,1
2014.0,jan,1/1/2014,9,38,0,0,0.0,1
2014.0,jan,1/1/2014,9,39,2,8,0.0,0
2014.0,jan,1/1/2014,9,40,2,7,1.0,0
2014.0,jan,1/1/2014,9,42,4,11,0.0,0
2014.0,jan,1/1/2014,9,43,0,1,0.0,1
2014.0,jan,1/1/2014,9,58,1,2,0.0,1
2014.0,jan,1/1/2014,9,59,1,5,0.0,1
2014.0,jan,1/1/2014,10,0,4,11,0.0,2
2014.0,jan,1/1/2014,10,1,4,11,1.0,2
2014.0,jan,1/1/2014,10,2,4,11,0.0,2
2014.0,jan,1/1/2014,10,3,4,11,0.0,2
2014.0,jan,1/1/2014,10,7,4,11,0.0,2
2014.0,jan,1/1/2014,10,9,3,9,0.0,2
2014.0,jan,1/1/2014,10,11,4,11,0.0,2
2014.0,jan,1/1/2014,10,12,4,11,0.0,2
2014.0,jan,1/1/2014,10,13,4,11,0.0,2
2014.0,jan,1/1/2014,10,15,4,11,0.0,2
2014.0,jan,1/1/2014,10,19,4,11,0.0,2
2014.0,jan,1/1/2014,10,21,4,11,0.0,2
2014.0,jan,1/1/2014,10,22,4,11,0.0,2
2014.0,jan,1/1/2014,10,23,4,11,0.0,2
2014.0,jan,1/1/2014,10,25,4,11,1.0,2
2014.0,jan,1/1/2014,10,26,4,11,0.0,2
2014.0,jan,1/1/2014,10,27,4,11,0.0,2
2014.0,jan,1/1/2014,10,33,4,11,0.0,2
2014.0,jan,1/1/2014,10,31,0,0,14.0,1
2014.0,jan,1/1/2014,10,38,0,0,0.0,1
2014.0,jan,1/1/2014,10,39,2,8,0.0,0
2014.0,jan,1/1/2014,10,40,2,7,0.0,0
2014.0,jan,1/1/2014,10,43,0,1,0.0,1
2014.0,jan,1/1/2014,10,46,3,9,0.0,0
2014.0,jan,1/1/2014,10,58,1,2,0.0,1
2014.0,jan,1/1/2014,10,59,1,5,0.0,1
2014.0,jan,1/1/2014,10,60,1,4,0.0,1
2014.0,jan,1/1/2014,10,61,4,11,0.0,0
2014.0,jan,1/1/2014,10,63,4,11,0.0,0
2014.0,jan,1/1/2014,10,64,4,11,0.0,0
2014.0,jan,1/1/2014,10,65,4,11,0.0,0
2014.0,jan,1/1/2014,10,66,4,11,0.0,0
2014.0,jan,1/1/2014,10,69,4,11,0.0,0
2014.0,jan,1/1/2014,10,71,4,11,0.0,0
2014.0,jan,1/1/2014,12,0,4,11,0.0,2
2014.0,jan,1/1/2014,12,1,4,11,0.0,2
2014.0,jan,1/1/2014,12,2,4,11,0.0,2
2014.0,jan,1/1/2014,12,9,3,9,0.0,2
2014.0,jan,1/1/2014,12,19,4,11,0.0,2
2014.0,jan,1/1/2014,12,20,3,10,0.0,2
2014.0,jan,1/1/2014,12,22,4,11,0.0,2
2014.0,jan,1/1/2014,12,26,4,11,0.0,2
2014.0,jan,1/1/2014,12,33,4,11,0.0,2
2014.0,jan,1/1/2014,12,31,0,0,0.0,1
2014.0,jan,1/1/2014,12,38,0,0,0.0,1
2014.0,jan,1/1/2014,12,39,2,8,0.0,0
2014.0,jan,1/1/2014,12,40,2,7,1.0,0
